Id,budget,company,country,director,genre,gross,movie status,name,rating,released,runtime,score,star,votes,writer,year
1746,0,Twentieth Century Fox Film Corporation,USA,Savage Steve Holland,5,1642239,Hit,How I Got Into College,PG-13,19-05-1989,86,5.8,Anthony Ed16ds,1807,Terrel Seltzer,1989
1747,0,Twentieth Century Fox Film Corporation,USA,Chris Columbus,5,21830957,Flop,Only the Lonely,PG-13,24-05-1991,104,6.3,John Candy,8491,Chris Columbus,1991
1748,0,Twentieth Century Fox Film Corporation,USA,Nora Ephron,2,2922094,Flop,This Is My Life,PG-13,21-02-1992,100,6,Julie Kavner,929,Meg Wolitzer,1992
1749,0,Twentieth Century Fox Film Corporation,USA,Marshall Herskovitz,2,5145462,Flop,Jack the Bear,PG-13,02-04-1993,99,6.5,Danny DeVito,3451,Dan McCall,1993
1750,0,Twentieth Century Fox Film Corporation,USA,Michael Lehmann,5,5370000,Hit,Airheads,PG-13,05-08-1994,92,6.1,Brendan Fraser,40298,Rich Wilkes,1994
1751,0,Twentieth Century Fox Film Corporation,USA,Chris Columbus,5,69700000,Flop,Nine Months,PG-13,12-07-1995,103,5.4,Hugh Grant,31410,Patrick Braoudé,1995
1752,0,Twentieth Century Fox Film Corporation,USA,Greg Beeman,3,7919823,Hit,Bushwhacked,PG-13,04-08-1995,90,5.5,Daniel Stern,4842,John Jordan,1995
1753,0,Twentieth Century Fox Film Corporation,USA,Sam Weisman,5,12100000,Flop,Bye Bye Love,PG-13,17-03-1995,106,6.1,Matthew Modine,4239,Gary David Goldberg,1995
1754,0,Twentieth Century Fox Film Corporation,USA,Michael Lehmann,5,34073143,Flop,The Truth About Cats & Dogs,PG-13,26-04-1996,97,6.3,Uma Thurman,23091,Audrey Wells,1996
1755,0,Twentieth Century Fox Film Corporation,USA,Martha Coolidge,5,27974168,Flop,Out to Sea,PG-13,02-07-1997,106,6.1,Jack Lemmon,6714,Robert Nelson Jacobs,1997
1756,0,Twentieth Century Fox Film Corporation,USA,Kevin Reynolds,2,14732623,Hit,Tristan + Isolde,PG-13,13-01-2006,100,6.9,James Franco,46906,Dean Georgaris,2006
1757,0,Two Flints,USA,Brett Haley,5,7425963,Flop,I'll See You in My Dreams,PG-13,15-05-2015,92,6.7,Blythe Danner,5282,Marc Basch,2015
1758,0,"Tyler Perry Company, The",USA,Tyler Perry,5,41939392,Flop,Meet the Browns,PG-13,21-03-2008,100,4.1,Tamela J. Mann,5913,Tyler Perry,2008
